name,nomination_no,congress_no,circuit,confirmation_date,yea_votes,nay_votes,record_vote_number
Stuart Kyle Duncan,PN1410,115,Fifth,04/24/2018,50,47,82
Michael B. Brennan,PN1405,115,Seventh,05/10/2018,49,46,89
Elizabeth L. Branch,PN1404,115,Eleventh,02/27/2018,73,23,38
Joel M. Carson III,PN1330,115,Tenth,05/15/2018,77,21,94
James C. Ho,PN1108,115,Fifth,12/14/2017,53,43,317
Don R. Willett,PN1077,115,Fifth,12/13/2017,50,47,315
Gregory G. Katsas,PN999,115,District of Columbia,11/28/2017,50,48,283
Leonard Steven Grasz,PN878,115,Eighth,12/12/2017,50,48,313
Stephanos Bibas,PN679,115,Third,11/02/2017,53,43,261
Ralph R. Erickson,PN586,115,Eighth,09/28/2017,95,1,207
Allison H. Eid,PN585,115,Tenth,11/02/2017,56,41,259
Kevin Christopher Newsom,PN372,115,Eleventh,08/01/2017,66,31,182
Joan Louise Larsen,PN371,115,Sixth,11/01/2017,60,38,257
John Kenneth Bush,PN370,115,Sixth,07/20/2017,51,47,164
Amy Coney Barrett,PN369,115,Seventh,10/31/2017,55,43,255
Amul R. Thapar,PN105,115,Sixth,05/25/2017,52,44,137
Kara Farnandez Stoll,PN12,114,Federal,07/07/2015,95,0,221
Luis Felipe Restrepo,PN11,114,Third,01/11/2016,82,6,1
Pamela Harris,PN1696,113,Fourth,07/28/2014,50,43,242
Cheryl Ann Krause,PN1397,113,Third,07/07/2014,93,0,217
Gregg Jeffrey Costa,PN1188,113,Fifth,05/20/2014,97,0,158
Julie E. Carnes,PN1187,113,Eleventh,07/21/2014,94,0,233
Robin S. Rosenbaum,PN1186,113,Eleventh,05/12/2014,91,0,141
David Jeremiah Barron,PN1185,113,First,05/22/2014,53,45,162
John B. Owens,PN1184,113,Ninth,03/31/2014,56,43,91
Nancy L. Moritz,PN1183,113,Tenth,05/05/2014,90,3,130
Michelle T. Friedland,PN1182,113,Ninth,04/28/2014,51,40,108
Carolyn B. McHugh,PN1181,113,Tenth,03/12/2014,98,0,67
Jill A. Pryor,PN1180,113,Eleventh,09/08/2014,97,0,257
Robert Leon Wilkins,PN529,113,District of Columbia,01/13/2014,55,43,7
Cornelia T. L. Pillard,PN528,113,District of Columbia,12/12/2013,51,44,256
Patricia Ann Millett,PN527,113,District of Columbia,12/10/2013,56,38,247
Todd M. Hughes,PN134,113,Federal,09/24/2013,98,0,204
Raymond T. Chen,PN133,113,Federal,08/01/2013,97,0,198
Gregory Alan Phillips,PN128,113,Tenth,07/08/2013,88,0,169
Jane Kelly,PN127,113,Eighth,04/24/2013,96,0,108
Richard Gary Taranto,PN7,113,Federal,03/11/2013,91,0,33
Srikanth Srinivasan,PN6,113,District of Columbia,05/23/2013,97,0,136
Patty Shwartz,PN5,113,Third,04/09/2013,64,34,93
William J. Kayatta Jr.,PN3,113,First,02/13/2013,88,12,20
Robert E. Bacharach,PN1,113,Tenth,02/25/2013,93,0,22
Andrew David Hurwitz,PN1104,112,Ninth,06/12/2012,,,
Paul J. Watford,PN1049,112,Ninth,05/21/2012,61,34,104
