name,nomination_no,congress_no,circuit,confirmation_date,yea_votes,nay_votes,record_vote_number,confirmation_year,session,vote_id
John Daniel Tinder,PN768,110,Seventh,2007-12-18,93,0,442,2007,1,1101442
Catharina Haynes,PN766,110,Fifth,2008-04-10,,,<NA>,2008,2,1102<NA>
Jennifer Walker Elrod,PN402,110,Fifth,2007-10-04,,,<NA>,2007,1,1101<NA>
Raymond M. Kethledge,PN343,110,Sixth,2008-06-24,,,<NA>,2008,2,1102<NA>
Norman Randy Smith,PN183,110,Ninth,2007-02-15,94,0,049,2007,1,1101049
Debra Ann Livingston,PN11,110,Second,2007-05-09,91,0,158,2007,1,1101158
Thomas M. Hardiman,PN8,110,Third,2007-03-15,95,0,078,2007,1,1101078
Leslie Southwick,PN2,110,Fifth,2007-10-24,59,38,393,2007,1,1101393
Kent A. Jordan,PN1746,109,Third,2006-12-08,91,0,276,2006,2,1092276
Kimberly Ann Moore,PN1594,109,Federal,2006-09-05,92,0,231,2006,2,1092231
Bobby E. Shepherd,PN1593,109,Eighth,2006-07-20,,,<NA>,2006,2,1092<NA>
Neil M. Gorsuch,PN1565,109,Tenth,2006-07-20,,,<NA>,2006,2,1092<NA>
Jerome A. Holmes,PN1536,109,Tenth,2006-07-25,67,30,213,2006,2,1092213
Milan D. Smith Jr.,PN1327,109,Ninth,2006-05-16,93,0,120,2006,2,1092120
Sandra Segal Ikuta,PN1296,109,Ninth,2006-06-19,81,0,175,2006,2,1092175
Michael A. Chagares,PN1180,109,Third,2006-04-04,98,0,086,2006,2,1092086
Brett M. Kavanaugh,PN1179,109,District of Columbia,2006-05-26,57,36,159,2006,2,1092159
Thomas B. Griffith,PN202,109,District of Columbia,2005-06-14,73,24,136,2005,1,1091136
Janice R. Brown,PN201,109,District of Columbia,2005-06-08,,,<NA>,2005,1,1091<NA>
William H. Pryor Jr.,PN200,109,Eleventh,2005-06-09,53,45,133,2005,1,1091133
Susan Bieke Neilson,PN197,109,Sixth,2005-10-27,97,0,277,2005,1,1091277
David W. McKeague,PN196,109,Sixth,2005-06-09,96,0,135,2005,1,1091135
Richard A. Griffin,PN195,109,Sixth,2005-06-09,95,0,134,2005,1,1091134
Priscilla Richman Owen,PN194,109,Fifth,2005-05-25,55,43,128,2005,1,1091128
William Duane Benton,PN1369,108,Eighth,2004-06-24,,,<NA>,2004,2,1082<NA>
Peter W. Hall,PN1195,108,Second,2004-06-24,,,<NA>,2004,2,1082<NA>
Franklin S. Van Antwerpen,PN1164,108,Third,2004-05-20,96,0,103,2004,2,1082103
Diane S. Sykes,PN1109,108,Seventh,2004-06-24,70,27,152,2004,2,1082152
Raymond W. Gruender,PN975,108,Eighth,2004-05-20,97,1,102,2004,2,1082102
D. Michael Fisher,PN570,108,Third,2003-12-09,,,<NA>,2003,1,1081<NA>
Allyson K. Duncan,PN533,108,Fourth,2003-07-17,93,0,289,2003,1,1081289
Carlos T. Bea,PN523,108,Ninth,2003-09-29,86,0,368,2003,1,1081368
Richard C. Wesley,PN395,108,Second,2003-06-11,96,0,215,2003,1,1081215
Michael Chertoff,PN394,108,Third,2003-06-09,88,1,211,2003,1,1081211
Steven M. Colloton,PN343,108,Eighth,2003-09-04,94,1,327,2003,1,1081327
Consuelo Maria Callahan,PN342,108,Ninth,2003-05-22,99,0,195,2003,1,1081195
Edward C. Prado,PN295,108,Fifth,2003-05-01,97,0,138,2003,1,1081138
Timothy M. Tymkovich,PN16,108,Tenth,2003-04-01,58,41,113,2003,1,1081113
Jeffrey S. Sutton,PN15,108,Sixth,2003-04-29,52,41,135,2003,1,1081135
John G. Roberts Jr.,PN13,108,District of Columbia,2003-05-08,,,<NA>,2003,1,1081<NA>
Deborah L. Cook,PN5,108,Sixth,2003-05-05,66,25,139,2003,1,1081139
Jay S. Bybee,PN4,108,Ninth,2003-03-13,74,19,054,2003,1,1081054
Reena Raggi,PN1713,107,Second,2002-09-20,85,0,219,2002,2,1072219
John M. Rogers,PN1300,107,Sixth,2002-11-14,,,<NA>,2002,2,1072<NA>
Julia Smith Gibbons,PN1115,107,Sixth,2002-07-29,95,0,194,2002,2,1072194
D. Brooks Smith,PN1005,107,Third,2002-07-31,64,35,202,2002,2,1072202
Jeffrey R. Howard,PN898,107,First,2002-04-23,99,0,079,2002,2,1072079
Harris L. Hartz,PN897,107,Tenth,2001-12-06,99,0,353,2001,1,1071353
Richard R. Clifton,PN894,107,Ninth,2002-07-18,98,0,184,2002,2,1072184
Edith Brown Clement,PN893,107,Fifth,2001-11-13,99,0,335,2001,1,1071335
Lavenski R. Smith,PN889,107,Eighth,2002-07-15,,,<NA>,2002,2,1072<NA>
Dennis W. Shedd,PN888,107,Fourth,2002-11-19,55,44,250,2002,2,1072250
Sharon Prost,PN886,107,Federal,2001-09-21,97,0,282,2001,1,1071282
Barrington D. Parker,PN884,107,Second,2001-10-11,0,0,297,2001,1,1071297
Terrence L. O'Brien,PN882,107,Tenth,2002-04-15,98,0,068,2002,2,1072068
Michael J. Melloy,PN881,107,Eighth,2002-02-11,91,0,021,2002,2,1072021
Michael W. McConnell,PN880,107,Tenth,2002-11-15,,,<NA>,2002,2,1072<NA>
William J. Riley,PN458,107,Eighth,2001-08-02,97,0,270,2001,1,1071270
Roger L. Gregory,PN402,107,Fourth,2001-07-20,93,1,244,2001,1,1071244
