name,confirmation_date,congress_no,variable,value,party
Ralph R. Erickson,2017-09-28,115,republicans,52,Rep
Allison H. Eid,2017-11-02,115,republicans,52,Rep
Kevin Christopher Newsom,2017-08-01,115,republicans,52,Rep
Joan Louise Larsen,2017-11-01,115,republicans,52,Rep
John Kenneth Bush,2017-07-20,115,republicans,52,Rep
Amy Coney Barrett,2017-10-31,115,republicans,52,Rep
Amul R. Thapar,2017-05-25,115,republicans,52,Rep
Kara Farnandez Stoll,2015-07-07,114,republicans,54,Rep
Luis Felipe Restrepo,2016-01-11,114,republicans,54,Rep
Pamela Harris,2014-07-28,113,republicans,45,Rep
Cheryl Ann Krause,2014-07-07,113,republicans,45,Rep
Gregg Jeffrey Costa,2014-05-20,113,republicans,45,Rep
Julie E. Carnes,2014-07-21,113,republicans,45,Rep
Robin S. Rosenbaum,2014-05-12,113,republicans,45,Rep
David Jeremiah Barron,2014-05-22,113,republicans,45,Rep
John B. Owens,2014-03-31,113,republicans,45,Rep
Nancy L. Moritz,2014-05-05,113,republicans,45,Rep
Michelle T. Friedland,2014-04-28,113,republicans,45,Rep
Carolyn B. McHugh,2014-03-12,113,republicans,45,Rep
Jill A. Pryor,2014-09-08,113,republicans,45,Rep
Robert Leon Wilkins,2014-01-13,113,republicans,45,Rep
Cornelia T. L. Pillard,2013-12-12,113,republicans,45,Rep
Patricia Ann Millett,2013-12-10,113,republicans,45,Rep
Todd M. Hughes,2013-09-24,113,republicans,46,Rep
Raymond T. Chen,2013-08-01,113,republicans,46,Rep
Gregory Alan Phillips,2013-07-08,113,republicans,46,Rep
Jane Kelly,2013-04-24,113,republicans,45,Rep
Richard Gary Taranto,2013-03-11,113,republicans,45,Rep
Srikanth Srinivasan,2013-05-23,113,republicans,45,Rep
Patty Shwartz,2013-04-09,113,republicans,45,Rep
William J. Kayatta Jr.,2013-02-13,113,republicans,45,Rep
Robert E. Bacharach,2013-02-25,113,republicans,45,Rep
Paul J. Watford,2012-05-21,112,republicans,47,Rep
Jacqueline H. Nguyen,2012-05-07,112,republicans,47,Rep
Stephanie Dawn Thacker,2012-04-16,112,republicans,47,Rep
Adalberto Jose Jordan,2012-02-15,112,republicans,47,Rep
Evan Jonathan Wallach,2011-11-08,112,republicans,47,Rep
Morgan Christen,2011-12-15,112,republicans,47,Rep
Stephen A. Higginson,2011-10-31,112,republicans,47,Rep
Christopher Droney,2011-11-28,112,republicans,47,Rep
Henry F. Floyd,2011-10-03,112,republicans,47,Rep
Susan L. Carney,2011-05-17,112,republicans,47,Rep
Bernice Bouie Donald,2011-09-06,112,republicans,47,Rep
Jimmie V. Reyna,2011-04-04,112,republicans,47,Rep
Mary Helen Murguia,2010-12-22,111,republicans,42,Rep
Raymond Joseph Lohier Jr.,2010-12-19,111,republicans,42,Rep
O. Rogeriee Thompson,2010-03-17,111,republicans,41,Rep
Denny Chin,2010-04-22,111,republicans,41,Rep
Barbara Milano Keenan,2010-03-02,111,republicans,41,Rep
Thomas I. Vanaskie,2010-04-21,111,republicans,41,Rep
Jane Branstetter Stranch,2010-09-13,111,republicans,41,Rep
Beverly Baldwin Martin,2010-01-20,111,republicans,40,Rep
Joseph A. Greenaway Jr.,2010-02-09,111,republicans,41,Rep
Gerard E. Lynch,2009-09-17,111,republicans,40,Rep
Andre M. Davis,2009-11-09,111,republicans,40,Rep
David F. Hamilton,2009-11-19,111,republicans,40,Rep
Helene N. White,2008-06-24,110,republicans,49,Rep
G. Steven Agee,2008-05-20,110,republicans,49,Rep
John Daniel Tinder,2007-12-18,110,republicans,49,Rep
Norman Randy Smith,2007-02-15,110,republicans,49,Rep
Debra Ann Livingston,2007-05-09,110,republicans,49,Rep
Thomas M. Hardiman,2007-03-15,110,republicans,49,Rep
Leslie Southwick,2007-10-24,110,republicans,49,Rep
Kent A. Jordan,2006-12-08,109,republicans,55,Rep
Kimberly Ann Moore,2006-09-05,109,republicans,55,Rep
Jerome A. Holmes,2006-07-25,109,republicans,55,Rep
Milan D. Smith Jr.,2006-05-16,109,republicans,55,Rep
Sandra Segal Ikuta,2006-06-19,109,republicans,55,Rep
Michael A. Chagares,2006-04-04,109,republicans,55,Rep
Brett M. Kavanaugh,2006-05-26,109,republicans,55,Rep
Thomas B. Griffith,2005-06-14,109,republicans,55,Rep
William H. Pryor Jr.,2005-06-09,109,republicans,55,Rep
Susan Bieke Neilson,2005-10-27,109,republicans,55,Rep
David W. McKeague,2005-06-09,109,republicans,55,Rep
Richard A. Griffin,2005-06-09,109,republicans,55,Rep
Priscilla Richman Owen,2005-05-25,109,republicans,55,Rep
Franklin S. Van Antwerpen,2004-05-20,108,republicans,51,Rep
Diane S. Sykes,2004-06-24,108,republicans,51,Rep
Raymond W. Gruender,2004-05-20,108,republicans,51,Rep
Allyson K. Duncan,2003-07-17,108,republicans,51,Rep
Carlos T. Bea,2003-09-29,108,republicans,51,Rep
Richard C. Wesley,2003-06-11,108,republicans,51,Rep
Michael Chertoff,2003-06-09,108,republicans,51,Rep
Steven M. Colloton,2003-09-04,108,republicans,51,Rep
Consuelo Maria Callahan,2003-05-22,108,republicans,51,Rep
Edward C. Prado,2003-05-01,108,republicans,51,Rep
Timothy M. Tymkovich,2003-04-01,108,republicans,51,Rep
Jeffrey S. Sutton,2003-04-29,108,republicans,51,Rep
Deborah L. Cook,2003-05-05,108,republicans,51,Rep
Jay S. Bybee,2003-03-13,108,republicans,51,Rep
Reena Raggi,2002-09-20,107,republicans,49,Rep
Julia Smith Gibbons,2002-07-29,107,republicans,49,Rep
D. Brooks Smith,2002-07-31,107,republicans,49,Rep
Jeffrey R. Howard,2002-04-23,107,republicans,49,Rep
Harris L. Hartz,2001-12-06,107,republicans,49,Rep
Richard R. Clifton,2002-07-18,107,republicans,49,Rep
Edith Brown Clement,2001-11-13,107,republicans,49,Rep
Dennis W. Shedd,2002-11-19,107,republicans,49,Rep
Sharon Prost,2001-09-21,107,republicans,49,Rep
Barrington D. Parker,2001-10-11,107,republicans,49,Rep
Terrence L. O'Brien,2002-04-15,107,republicans,49,Rep
Michael J. Melloy,2002-02-11,107,republicans,49,Rep
William J. Riley,2001-08-02,107,republicans,49,Rep
Roger L. Gregory,2001-07-20,107,republicans,49,Rep
Roopali H. Desai,2022-08-04,117,independents,2,Ind
Florence Y. Pan,2022-09-20,117,independents,2,Ind
Sarah A. L. Merriam,2022-09-15,117,independents,2,Ind
Lara E. Montecalvo,2022-09-14,117,independents,2,Ind
Salvador Mendoza Jr,2022-09-12,117,independents,2,Ind
John Z. Lee,2022-09-07,117,independents,2,Ind
Stephanie Dawkins Davis,2022-05-24,117,independents,2,Ind
Julianna Michelle Childs,2022-07-19,117,independents,2,Ind
Leonard Philip Stark,2022-02-09,117,independents,2,Ind
Alison J. Nathan,2022-03-23,117,independents,2,Ind
Andre B. Mathis,2022-09-08,117,independents,2,Ind
Holly A. Thomas,2022-01-20,117,independents,2,Ind
Gabriel P. Sanchez,2022-01-12,117,independents,2,Ind
Lucy Haeran Koh,2021-12-13,117,independents,2,Ind
Beth Robinson,2021-11-01,117,independents,2,Ind
Jennifer Sung,2021-12-15,117,independents,2,Ind
Toby J. Heytens,2021-11-01,117,independents,2,Ind
Myrna Perez,2021-10-25,117,independents,2,Ind
Veronica S. Rossman,2021-09-20,117,independents,2,Ind
Eunice C. Lee,2021-08-07,117,independents,2,Ind
Gustavo A. Gelpi,2021-10-18,117,independents,2,Ind
Candace Jackson-Akiwumi,2021-06-24,117,independents,2,Ind
Ketanji Brown Jackson,2021-06-14,117,independents,2,Ind
Tiffany P. Cunningham,2021-07-19,117,independents,2,Ind
Thomas L. Kirsch II,2020-12-15,116,independents,2,Ind
Cory T. Wilson,2020-06-24,116,independents,2,Ind
Justin Reed Walker,2020-06-18,116,independents,2,Ind
Andrew Lynn Brasher,2020-02-11,116,independents,2,Ind
Lawrence VanDyke,2019-12-11,116,independents,2,Ind
Robert J. Luck,2019-11-19,116,independents,2,Ind
Barbara Lagoa,2019-11-20,116,independents,2,Ind
Patrick J. Bumatay,2019-12-10,116,independents,2,Ind
William Joseph Nardini,2019-11-07,116,independents,2,Ind
Danielle J. Hunsaker,2019-11-06,116,independents,2,Ind
Steven J. Menashi,2019-11-14,116,independents,2,Ind
Peter Joseph Phipps,2019-07-16,116,independents,2,Ind
Kenneth Kiyul Lee,2019-05-15,116,independents,2,Ind
Daniel P. Collins,2019-05-21,116,independents,2,Ind
Daniel Aaron Bress,2019-07-09,116,independents,2,Ind
Allison Jones Rushing,2019-03-05,116,independents,2,Ind
Chad A. Readler,2019-03-06,116,independents,2,Ind
Neomi J. Rao,2019-03-13,116,independents,2,Ind
Michael H. Park,2019-05-09,116,independents,2,Ind
Eric E. Murphy,2019-03-07,116,independents,2,Ind
Eric D. Miller,2019-02-26,116,independents,2,Ind
Paul B. Matey,2019-03-12,116,independents,2,Ind
Joseph F. Bianco,2019-05-08,116,independents,2,Ind
Bridget S. Bade,2019-03-26,116,independents,2,Ind
Jonathan A. Kobes,2018-12-11,115,independents,2,Ind
Ryan Douglas Nelson,2018-10-11,115,independents,2,Ind
Richard J. Sullivan,2018-10-11,115,independents,2,Ind
Julius Ness Richardson,2018-08-16,115,independents,2,Ind
A. Marvin Quattlebaum Jr.,2018-08-16,115,independents,2,Ind
David James Porter,2018-10-11,115,independents,2,Ind
Britt Cagle Grant,2018-07-31,115,independents,2,Ind
Amy J. St. Eve,2018-05-14,115,independents,2,Ind
Michael Y. Scudder,2018-05-14,115,independents,2,Ind
Andrew S. Oldham,2018-07-18,115,independents,2,Ind
Mark Jeremy Bennett,2018-07-10,115,independents,2,Ind
John B. Nalbandian,2018-05-15,115,independents,2,Ind
David Ryan Stras,2018-01-30,115,independents,2,Ind
Kurt D. Engelhardt,2018-05-09,115,independents,2,Ind
Stuart Kyle Duncan,2018-04-24,115,independents,2,Ind
Michael B. Brennan,2018-05-10,115,independents,2,Ind
Elizabeth L. Branch,2018-02-27,115,independents,2,Ind
Joel M. Carson III,2018-05-15,115,independents,2,Ind
James C. Ho,2017-12-14,115,independents,2,Ind
Don R. Willett,2017-12-13,115,independents,2,Ind
Gregory G. Katsas,2017-11-28,115,independents,2,Ind
Leonard Steven Grasz,2017-12-12,115,independents,2,Ind
Stephanos Bibas,2017-11-02,115,independents,2,Ind
Ralph R. Erickson,2017-09-28,115,independents,2,Ind
Allison H. Eid,2017-11-02,115,independents,2,Ind
Kevin Christopher Newsom,2017-08-01,115,independents,2,Ind
Joan Louise Larsen,2017-11-01,115,independents,2,Ind
John Kenneth Bush,2017-07-20,115,independents,2,Ind
Amy Coney Barrett,2017-10-31,115,independents,2,Ind
Amul R. Thapar,2017-05-25,115,independents,2,Ind
Kara Farnandez Stoll,2015-07-07,114,independents,2,Ind
Luis Felipe Restrepo,2016-01-11,114,independents,2,Ind
Pamela Harris,2014-07-28,113,independents,2,Ind
Cheryl Ann Krause,2014-07-07,113,independents,2,Ind
Gregg Jeffrey Costa,2014-05-20,113,independents,2,Ind
Julie E. Carnes,2014-07-21,113,independents,2,Ind
Robin S. Rosenbaum,2014-05-12,113,independents,2,Ind
David Jeremiah Barron,2014-05-22,113,independents,2,Ind
John B. Owens,2014-03-31,113,independents,2,Ind
Nancy L. Moritz,2014-05-05,113,independents,2,Ind
Michelle T. Friedland,2014-04-28,113,independents,2,Ind
Carolyn B. McHugh,2014-03-12,113,independents,2,Ind
Jill A. Pryor,2014-09-08,113,independents,2,Ind
Robert Leon Wilkins,2014-01-13,113,independents,2,Ind
Cornelia T. L. Pillard,2013-12-12,113,independents,2,Ind
Patricia Ann Millett,2013-12-10,113,independents,2,Ind
Todd M. Hughes,2013-09-24,113,independents,2,Ind
Raymond T. Chen,2013-08-01,113,independents,2,Ind
Gregory Alan Phillips,2013-07-08,113,independents,2,Ind
Jane Kelly,2013-04-24,113,independents,2,Ind
Richard Gary Taranto,2013-03-11,113,independents,2,Ind
Srikanth Srinivasan,2013-05-23,113,independents,2,Ind
Patty Shwartz,2013-04-09,113,independents,2,Ind
William J. Kayatta Jr.,2013-02-13,113,independents,2,Ind
Robert E. Bacharach,2013-02-25,113,independents,2,Ind
Paul J. Watford,2012-05-21,112,independents,2,Ind
Jacqueline H. Nguyen,2012-05-07,112,independents,2,Ind
Stephanie Dawn Thacker,2012-04-16,112,independents,2,Ind
Adalberto Jose Jordan,2012-02-15,112,independents,2,Ind
Evan Jonathan Wallach,2011-11-08,112,independents,2,Ind
Morgan Christen,2011-12-15,112,independents,2,Ind
Stephen A. Higginson,2011-10-31,112,independents,2,Ind
Christopher Droney,2011-11-28,112,independents,2,Ind
Henry F. Floyd,2011-10-03,112,independents,2,Ind
Susan L. Carney,2011-05-17,112,independents,2,Ind
Bernice Bouie Donald,2011-09-06,112,independents,2,Ind
Jimmie V. Reyna,2011-04-04,112,independents,2,Ind
Mary Helen Murguia,2010-12-22,111,independents,2,Ind
Raymond Joseph Lohier Jr.,2010-12-19,111,independents,2,Ind
O. Rogeriee Thompson,2010-03-17,111,independents,2,Ind
Denny Chin,2010-04-22,111,independents,2,Ind
