name,confirmation_date,congress_no,variable,value,party
Ryan Douglas Nelson,2018-10-11,115,I_yea,0,Ind
Richard J. Sullivan,2018-10-11,115,I_yea,1,Ind
Julius Ness Richardson,2018-08-16,115,I_yea,1,Ind
A. Marvin Quattlebaum Jr.,2018-08-16,115,I_yea,1,Ind
David James Porter,2018-10-11,115,I_yea,0,Ind
Britt Cagle Grant,2018-07-31,115,I_yea,0,Ind
Amy J. St. Eve,2018-05-14,115,I_yea,2,Ind
Michael Y. Scudder,2018-05-14,115,I_yea,2,Ind
Andrew S. Oldham,2018-07-18,115,I_yea,0,Ind
Mark Jeremy Bennett,2018-07-10,115,I_yea,2,Ind
John B. Nalbandian,2018-05-15,115,I_yea,0,Ind
David Ryan Stras,2018-01-30,115,I_yea,0,Ind
Kurt D. Engelhardt,2018-05-09,115,I_yea,1,Ind
Stuart Kyle Duncan,2018-04-24,115,I_yea,0,Ind
Michael B. Brennan,2018-05-10,115,I_yea,0,Ind
Elizabeth L. Branch,2018-02-27,115,I_yea,1,Ind
Joel M. Carson III,2018-05-15,115,I_yea,1,Ind
James C. Ho,2017-12-14,115,I_yea,0,Ind
Don R. Willett,2017-12-13,115,I_yea,0,Ind
Gregory G. Katsas,2017-11-28,115,I_yea,0,Ind
Leonard Steven Grasz,2017-12-12,115,I_yea,0,Ind
Stephanos Bibas,2017-11-02,115,I_yea,0,Ind
Ralph R. Erickson,2017-09-28,115,I_yea,2,Ind
Allison H. Eid,2017-11-02,115,I_yea,0,Ind
Kevin Christopher Newsom,2017-08-01,115,I_yea,0,Ind
Joan Louise Larsen,2017-11-01,115,I_yea,0,Ind
John Kenneth Bush,2017-07-20,115,I_yea,0,Ind
Amy Coney Barrett,2017-10-31,115,I_yea,0,Ind
Amul R. Thapar,2017-05-25,115,I_yea,0,Ind
Kara Farnandez Stoll,2015-07-07,114,I_yea,1,Ind
Luis Felipe Restrepo,2016-01-11,114,I_yea,1,Ind
Pamela Harris,2014-07-28,113,I_yea,2,Ind
Cheryl Ann Krause,2014-07-07,113,I_yea,2,Ind
Gregg Jeffrey Costa,2014-05-20,113,I_yea,2,Ind
Julie E. Carnes,2014-07-21,113,I_yea,2,Ind
Robin S. Rosenbaum,2014-05-12,113,I_yea,2,Ind
David Jeremiah Barron,2014-05-22,113,I_yea,2,Ind
John B. Owens,2014-03-31,113,I_yea,2,Ind
Nancy L. Moritz,2014-05-05,113,I_yea,2,Ind
Michelle T. Friedland,2014-04-28,113,I_yea,2,Ind
Carolyn B. McHugh,2014-03-12,113,I_yea,2,Ind
Jill A. Pryor,2014-09-08,113,I_yea,2,Ind
Robert Leon Wilkins,2014-01-13,113,I_yea,2,Ind
Cornelia T. L. Pillard,2013-12-12,113,I_yea,2,Ind
Patricia Ann Millett,2013-12-10,113,I_yea,2,Ind
Todd M. Hughes,2013-09-24,113,I_yea,2,Ind
Raymond T. Chen,2013-08-01,113,I_yea,2,Ind
Gregory Alan Phillips,2013-07-08,113,I_yea,1,Ind
Jane Kelly,2013-04-24,113,I_yea,2,Ind
Richard Gary Taranto,2013-03-11,113,I_yea,2,Ind
Srikanth Srinivasan,2013-05-23,113,I_yea,2,Ind
Patty Shwartz,2013-04-09,113,I_yea,2,Ind
William J. Kayatta Jr.,2013-02-13,113,I_yea,2,Ind
Robert E. Bacharach,2013-02-25,113,I_yea,2,Ind
Paul J. Watford,2012-05-21,112,I_yea,2,Ind
Jacqueline H. Nguyen,2012-05-07,112,I_yea,2,Ind
Stephanie Dawn Thacker,2012-04-16,112,I_yea,1,Ind
Adalberto Jose Jordan,2012-02-15,112,I_yea,2,Ind
Evan Jonathan Wallach,2011-11-08,112,I_yea,2,Ind
Morgan Christen,2011-12-15,112,I_yea,2,Ind
Stephen A. Higginson,2011-10-31,112,I_yea,2,Ind
Christopher Droney,2011-11-28,112,I_yea,2,Ind
Henry F. Floyd,2011-10-03,112,I_yea,1,Ind
Susan L. Carney,2011-05-17,112,I_yea,1,Ind
Bernice Bouie Donald,2011-09-06,112,I_yea,2,Ind
Jimmie V. Reyna,2011-04-04,112,I_yea,2,Ind
Mary Helen Murguia,2010-12-22,111,I_yea,2,Ind
Raymond Joseph Lohier Jr.,2010-12-19,111,I_yea,2,Ind
O. Rogeriee Thompson,2010-03-17,111,I_yea,2,Ind
Denny Chin,2010-04-22,111,I_yea,2,Ind
Barbara Milano Keenan,2010-03-02,111,I_yea,2,Ind
Thomas I. Vanaskie,2010-04-21,111,I_yea,2,Ind
Jane Branstetter Stranch,2010-09-13,111,I_yea,2,Ind
Beverly Baldwin Martin,2010-01-20,111,I_yea,2,Ind
Joseph A. Greenaway Jr.,2010-02-09,111,I_yea,1,Ind
Gerard E. Lynch,2009-09-17,111,I_yea,2,Ind
Andre M. Davis,2009-11-09,111,I_yea,2,Ind
David F. Hamilton,2009-11-19,111,I_yea,2,Ind
Helene N. White,2008-06-24,110,I_yea,2,Ind
G. Steven Agee,2008-05-20,110,I_yea,2,Ind
John Daniel Tinder,2007-12-18,110,I_yea,2,Ind
Norman Randy Smith,2007-02-15,110,I_yea,2,Ind
Debra Ann Livingston,2007-05-09,110,I_yea,2,Ind
Thomas M. Hardiman,2007-03-15,110,I_yea,2,Ind
Leslie Southwick,2007-10-24,110,I_yea,1,Ind
Kent A. Jordan,2006-12-08,109,I_yea,1,Ind
Kimberly Ann Moore,2006-09-05,109,I_yea,1,Ind
Jerome A. Holmes,2006-07-25,109,I_yea,1,Ind
Milan D. Smith Jr.,2006-05-16,109,I_yea,1,Ind
Sandra Segal Ikuta,2006-06-19,109,I_yea,0,Ind
Michael A. Chagares,2006-04-04,109,I_yea,1,Ind
Brett M. Kavanaugh,2006-05-26,109,I_yea,0,Ind
Thomas B. Griffith,2005-06-14,109,I_yea,0,Ind
William H. Pryor Jr.,2005-06-09,109,I_yea,0,Ind
Susan Bieke Neilson,2005-10-27,109,I_yea,1,Ind
David W. McKeague,2005-06-09,109,I_yea,0,Ind
Richard A. Griffin,2005-06-09,109,I_yea,0,Ind
Priscilla Richman Owen,2005-05-25,109,I_yea,0,Ind
Franklin S. Van Antwerpen,2004-05-20,108,I_yea,1,Ind
Diane S. Sykes,2004-06-24,108,I_yea,0,Ind
Raymond W. Gruender,2004-05-20,108,I_yea,1,Ind
Allyson K. Duncan,2003-07-17,108,I_yea,1,Ind
Carlos T. Bea,2003-09-29,108,I_yea,0,Ind
Richard C. Wesley,2003-06-11,108,I_yea,1,Ind
Michael Chertoff,2003-06-09,108,I_yea,1,Ind
Steven M. Colloton,2003-09-04,108,I_yea,1,Ind
Consuelo Maria Callahan,2003-05-22,108,I_yea,1,Ind
Edward C. Prado,2003-05-01,108,I_yea,1,Ind
Timothy M. Tymkovich,2003-04-01,108,I_yea,0,Ind
Jeffrey S. Sutton,2003-04-29,108,I_yea,0,Ind
Deborah L. Cook,2003-05-05,108,I_yea,0,Ind
Jay S. Bybee,2003-03-13,108,I_yea,1,Ind
Reena Raggi,2002-09-20,107,I_yea,1,Ind
Julia Smith Gibbons,2002-07-29,107,I_yea,1,Ind
D. Brooks Smith,2002-07-31,107,I_yea,0,Ind
Jeffrey R. Howard,2002-04-23,107,I_yea,1,Ind
Harris L. Hartz,2001-12-06,107,I_yea,1,Ind
Richard R. Clifton,2002-07-18,107,I_yea,1,Ind
Edith Brown Clement,2001-11-13,107,I_yea,1,Ind
Dennis W. Shedd,2002-11-19,107,I_yea,0,Ind
Sharon Prost,2001-09-21,107,I_yea,1,Ind
Barrington D. Parker,2001-10-11,107,I_yea,1,Ind
Terrence L. O'Brien,2002-04-15,107,I_yea,1,Ind
Michael J. Melloy,2002-02-11,107,I_yea,1,Ind
William J. Riley,2001-08-02,107,I_yea,1,Ind
Roger L. Gregory,2001-07-20,107,I_yea,1,Ind
