name,nomination_no,congress_no,post,vote
Michael H. Park,PN245,116th Congress (2019-2020),"Michael H. Park, of New York, to be United States Circuit Judge for the Second Circuit, vice Gerard E. Lynch, retired.",Latest Action: 05/09/2019 - Confirmed by the Senate by Yea-Nay Vote. 52 - 41. Record Vote Number: 106. (All Actions)
Eric E. Murphy,PN242,116th Congress (2019-2020),"Eric E. Murphy, of Ohio, to be United States Circuit Judge for the Sixth Circuit, vice Alice M. Batchelder, retired.",Latest Action: 03/07/2019 - Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 39. (All Actions)
Eric D. Miller,PN239,116th Congress (2019-2020),"Eric D. Miller, of Washington, to be United States Circuit Judge for the Ninth Circuit, vice Richard C. Tallman, retired.",Latest Action: 02/26/2019 - Confirmed by the Senate by Yea-Nay Vote. 53 - 46. Record Vote Number: 29. (All Actions)
Paul B. Matey,PN236,116th Congress (2019-2020),"Paul B. Matey, of New Jersey, to be United States Circuit Judge for the Third Circuit, vice Julio M. Fuentes, retired.",Latest Action: 03/12/2019 - Confirmed by the Senate by Yea-Nay Vote. 54 - 45. Record Vote Number: 42. (All Actions)
Joseph F. Bianco,PN220,116th Congress (2019-2020),"Joseph F. Bianco, of New York, to be United States Circuit Judge for the Second Circuit, vice Reena Raggi, retired.",Latest Action: 05/08/2019 - Confirmed by the Senate by Yea-Nay Vote. 54 - 42. Record Vote Number: 99. (All Actions)
Bridget S. Bade,PN213,116th Congress (2019-2020),"Bridget S. Bade, of Arizona, to be United States Circuit Judge for the Ninth Circuit, vice Barry G. Silverman, retired.",Latest Action: 03/26/2019 - Confirmed by the Senate by Yea-Nay Vote. 78 - 21. Record Vote Number: 51. (All Actions)
Jonathan A. Kobes,PN2117,115th Congress (2017-2018),"Jonathan A. Kobes, of South Dakota, to be United States Circuit Judge for the Eighth Circuit, vice Roger L. Wollman, retired.",Latest Action: 12/11/2018 - Confirmed by the Senate by Yea-Nay Vote. 50 - 50. Record Vote Number: 258. (All Actions)
Ryan Douglas Nelson,PN1964,115th Congress (2017-2018),"Ryan Douglas Nelson, of Idaho, to be United States Circuit Judge for the Ninth Circuit, vice Norman Randy Smith, retiring.",Latest Action: 10/11/2018 - Confirmed by the Senate by Yea-Nay Vote. 51 - 44. Record Vote Number: 232. (All Actions)
Richard J. Sullivan,PN1900,115th Congress (2017-2018),"Richard J. Sullivan, of New York, to be United States Circuit Judge for the Second Circuit, vice Richard C. Wesley, retired.",Latest Action: 10/11/2018 - Confirmed by the Senate by Yea-Nay Vote. 79 - 16. Record Vote Number: 233. (All Actions)
Julius Ness Richardson,PN1897,115th Congress (2017-2018),"Julius Ness Richardson, of South Carolina, to be United States Circuit Judge for the Fourth Circuit, vice Dennis W. Shedd, retired.",Latest Action: 08/16/2018 - Confirmed by the Senate by Yea-Nay Vote. 81 - 8. Record Vote Number: 185. (All Actions)
A. Marvin Quattlebaum Jr.,PN1895,115th Congress (2017-2018),"A. Marvin Quattlebaum, Jr., of South Carolina, to be United States Circuit Judge for the Fourth Circuit, vice William B. Traxler, Jr., retiring.",Latest Action: 08/16/2018 - Confirmed by the Senate by Yea-Nay Vote. 62 - 28. Record Vote Number: 183. (All Actions)
David James Porter,PN1843,115th Congress (2017-2018),"David James Porter, of Pennsylvania, to be United States Circuit Judge for the Third Circuit, vice D. Michael Fisher, retired.",Latest Action: 10/11/2018 - Confirmed by the Senate by Yea-Nay Vote. 50 - 45. Record Vote Number: 231. (All Actions)
Britt Cagle Grant,PN1808,115th Congress (2017-2018),"Britt Cagle Grant, of Georgia, to be United States Circuit Judge for the Eleventh Circuit, vice Julie E. Carnes, retiring.",Latest Action: 07/31/2018 - Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 174. (All Actions)
Amy J. St. Eve,PN1648,115th Congress (2017-2018),"Amy J. St. Eve, of Illinois, to be United States Circuit Judge for the Seventh Circuit, vice Ann Claire Williams, retired.",Latest Action: 05/14/2018 - Confirmed by the Senate by Yea-Nay Vote. 91 - 0. Record Vote Number: 93. (All Actions)
Michael Y. Scudder,PN1647,115th Congress (2017-2018),"Michael Y. Scudder, of Illinois, to be United States Circuit Judge for the Seventh Circuit, vice Richard A. Posner, retired.",Latest Action: 05/14/2018 - Confirmed by the Senate by Yea-Nay Vote. 90 - 0. Record Vote Number: 92. (All Actions)
Andrew S. Oldham,PN1645,115th Congress (2017-2018),"Andrew S. Oldham, of Texas, to be United States Circuit Judge for the Fifth Circuit, vice Edward C. Prado, retiring.",Latest Action: 07/18/2018 - Confirmed by the Senate by Yea-Nay Vote. 50 - 49. Record Vote Number: 160. (All Actions)
Mark Jeremy Bennett,PN1642,115th Congress (2017-2018),"Mark Jeremy Bennett, of Hawaii, to be United States Circuit Judge for the Ninth Circuit, vice Richard R. Clifton, retired.",Latest Action: 07/10/2018 - Confirmed by the Senate by Yea-Nay Vote. 72 - 27. Record Vote Number: 145. (All Actions)
John B. Nalbandian,PN1526,115th Congress (2017-2018),"John B. Nalbandian, of Kentucky, to be United States Circuit Judge for the Sixth Circuit, vice John M. Rogers, retiring.",Latest Action: 05/15/2018 - Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 95. (All Actions)
David Ryan Stras,PN1423,115th Congress (2017-2018),"David Ryan Stras, of Minnesota, to be United States Circuit Judge for the Eighth Circuit, vice Diana E. Murphy, retired.",Latest Action: 01/30/2018 - Confirmed by the Senate by Yea-Nay Vote. 56 - 42. Record Vote Number: 27. (All Actions)
Kurt D. Engelhardt,PN1411,115th Congress (2017-2018),"Kurt D. Engelhardt, of Louisiana, to be United States Circuit Judge for the Fifth Circuit, vice Edith Brown Clement, retired.",Latest Action: 05/09/2018 - Confirmed by the Senate by Yea-Nay Vote. 62 - 34. Record Vote Number: 87. (All Actions)
Stuart Kyle Duncan,PN1410,115th Congress (2017-2018),"Stuart Kyle Duncan, of Louisiana, to be United States Circuit Judge for the Fifth Circuit, vice W. Eugene Davis, retired.",Latest Action: 04/24/2018 - Confirmed by the Senate by Yea-Nay Vote. 50 - 47. Record Vote Number: 82. (All Actions)
Michael B. Brennan,PN1405,115th Congress (2017-2018),"Michael B. Brennan, of Wisconsin, to be United States Circuit Judge for the Seventh Circuit, vice Terence T. Evans, deceased.",Latest Action: 05/10/2018 - Confirmed by the Senate by Yea-Nay Vote. 49 - 46. Record Vote Number: 89. (All Actions)
Elizabeth L. Branch,PN1404,115th Congress (2017-2018),"Elizabeth L. Branch, of Georgia, to be United States Circuit Judge for the Eleventh Circuit, vice Frank M. Hull, retired.",Latest Action: 02/27/2018 - Confirmed by the Senate by Yea-Nay Vote. 73 - 23. Record Vote Number: 38. (All Actions)
Joel M. Carson III,PN1330,115th Congress (2017-2018),"Joel M. Carson III, of New Mexico, to be United States Circuit Judge for the Tenth Circuit, vice Paul J. Kelly, Jr., retired.",Latest Action: 05/15/2018 - Confirmed by the Senate by Yea-Nay Vote. 77 - 21. Record Vote Number: 94. (All Actions)
James C. Ho,PN1108,115th Congress (2017-2018),"James C. Ho, of Texas, to be United States Circuit Judge for the Fifth Circuit, vice Carolyn D. Randall, retired.",Latest Action: 12/14/2017 - Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 317. (All Actions)
Don R. Willett,PN1077,115th Congress (2017-2018),"Don R. Willett, of Texas, to be a Circuit Judge, United States Court of Appeals for the Fifth Circuit, vice Emilio M. Garza, retired.",Latest Action: 12/13/2017 - Confirmed by the Senate by Yea-Nay Vote. 50 - 47. Record Vote Number: 315. (All Actions)
Gregory G. Katsas,PN999,115th Congress (2017-2018),"Gregory G. Katsas, of Virginia, to be United States Circuit Judge for the District of Columbia Circuit, vice Janice R. Brown, retired.",Latest Action: 11/28/2017 - Confirmed by the Senate by Yea-Nay Vote. 50 - 48. Record Vote Number: 283. (All Actions)
Leonard Steven Grasz,PN878,115th Congress (2017-2018),"Leonard Steven Grasz, of Nebraska, to be United States Circuit Judge for the Eighth Circuit, vice William Jay Riley, retired.",Latest Action: 12/12/2017 - Confirmed by the Senate by Yea-Nay Vote. 50 - 48. Record Vote Number: 313. (All Actions)
Stephanos Bibas,PN679,115th Congress (2017-2018),"Stephanos Bibas, of Pennsylvania, to be United States Circuit Judge for the Third Circuit, vice Marjorie O. Rendell, retired.",Latest Action: 11/02/2017 - Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 261. (All Actions)
Ralph R. Erickson,PN586,115th Congress (2017-2018),"Ralph R. Erickson, of North Dakota, to be United States Circuit Judge for the Eighth Circuit, vice Kermit E. Bye, retired.",Latest Action: 09/28/2017 - Confirmed by the Senate by Yea-Nay Vote. 95 - 1. Record Vote Number: 207. (All Actions)
Allison H. Eid,PN585,115th Congress (2017-2018),"Allison H. Eid, of Colorado, to be United States Circuit Judge for the Tenth Circuit, vice Neil M. Gorsuch, elevated.",Latest Action: 11/02/2017 - Confirmed by the Senate by Yea-Nay Vote. 56 - 41. Record Vote Number: 259. (All Actions)
Kevin Christopher Newsom,PN372,115th Congress (2017-2018),"Kevin Christopher Newsom, of Alabama, to be United States Circuit Judge for the Eleventh Circuit, vice Joel F. Dubina, retired.",Latest Action: 08/01/2017 - Confirmed by the Senate by Yea-Nay Vote. 66 - 31. Record Vote Number: 182. (All Actions)
Joan Louise Larsen,PN371,115th Congress (2017-2018),"Joan Louise Larsen, of Michigan, to be United States Circuit Judge for the Sixth Circuit, vice David W. McKeague, retired.",Latest Action: 11/01/2017 - Confirmed by the Senate by Yea-Nay Vote. 60 - 38. Record Vote Number: 257. (All Actions)
John Kenneth Bush,PN370,115th Congress (2017-2018),"John Kenneth Bush, of Kentucky, to be United States Circuit Judge for the Sixth Circuit, vice Danny J. Boggs, retired.",Latest Action: 07/20/2017 - Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 164. (All Actions)
Amy Coney Barrett,PN369,115th Congress (2017-2018),"Amy Coney Barrett, of Indiana, to be United States Circuit Judge for the Seventh Circuit, vice John Daniel Tinder, retired.",Latest Action: 10/31/2017 - Confirmed by the Senate by Yea-Nay Vote. 55 - 43. Record Vote Number: 255. (All Actions)
Amul R. Thapar,PN105,115th Congress (2017-2018),"Amul R. Thapar, of Kentucky, to be United States Circuit Judge for the Sixth Circuit, vice Boyce F. Martin Jr., retired.",Latest Action: 05/25/2017 - Confirmed by the Senate by Yea-Nay Vote. 52 - 44. Record Vote Number: 137. (All Actions)
Kara Farnandez Stoll,PN12,114th Congress (2015-2016),"Kara Farnandez Stoll, of Virginia, to be United States Circuit Judge for the Federal Circuit, vice Randall R. Rader, retired.",Latest Action: 07/07/2015 - Confirmed by the Senate by Yea-Nay Vote. 95 - 0. Record Vote Number: 221. (All Actions)
Luis Felipe Restrepo,PN11,114th Congress (2015-2016),"Luis Felipe Restrepo, of Pennsylvania, to be United States Circuit Judge for the Third Circuit, vice Anthony J. Scirica, retired.",Latest Action: 01/11/2016 - Confirmed by the Senate by Yea-Nay Vote. 82 - 6. Record Vote Number: 1. (All Actions)
Pamela Harris,PN1696,113th Congress (2013-2014),"Pamela Harris, of Maryland, to be United States Circuit Judge for the Fourth Circuit, vice Andre M. Davis, retired.",Latest Action: 07/28/2014 - Confirmed by the Senate by Yea-Nay Vote. 50 - 43. Record Vote Number: 242. (All Actions)
Cheryl Ann Krause,PN1397,113th Congress (2013-2014),"Cheryl Ann Krause, of New Jersey, to be United States Circuit Judge for the Third Circuit, vice Dolores Korman Sloviter, retired.",Latest Action: 07/07/2014 - Confirmed by the Senate by Yea-Nay Vote. 93 - 0. Record Vote Number: 217. (All Actions)
Gregg Jeffrey Costa,PN1188,113th Congress (2013-2014),"Gregg Jeffrey Costa, of Texas, to be United States Circuit Judge for the Fifth Circuit, vice Fortunato P. Benavides, retired.",Latest Action: 05/20/2014 - Confirmed by the Senate by Yea-Nay Vote. 97 - 0. Record Vote Number: 158. (All Actions)
Julie E. Carnes,PN1187,113th Congress (2013-2014),"Julie E. Carnes, of Georgia, to be United States Circuit Judge for the Eleventh Circuit, vice James Larry Edmondson, retired.",Latest Action: 07/21/2014 - Confirmed by the Senate by Yea-Nay Vote. 94 - 0. Record Vote Number: 233. (All Actions)
Robin S. Rosenbaum,PN1186,113th Congress (2013-2014),"Robin S. Rosenbaum, of Florida, to be United States Circuit Judge for the Eleventh Circuit, vice Rosemary Barkett, resigned.",Latest Action: 05/12/2014 - Confirmed by the Senate by Yea-Nay Vote. 91 - 0. Record Vote Number: 141. (All Actions)
David Jeremiah Barron,PN1185,113th Congress (2013-2014),"David Jeremiah Barron, of Massachusetts, to be United States Circuit Judge for the First Circuit, vice Michael Boudin, retired.",Latest Action: 05/22/2014 - Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 162. (All Actions)
John B. Owens,PN1184,113th Congress (2013-2014),"John B. Owens, of California, to be United States Circuit Judge for the Ninth Circuit, vice Stephen S. Trott, retired.",Latest Action: 03/31/2014 - Confirmed by the Senate by Yea-Nay Vote. 56 - 43. Record Vote Number: 91. (All Actions)
Nancy L. Moritz,PN1183,113th Congress (2013-2014),"Nancy L. Moritz, of Kansas, to be United States Circuit Judge for the Tenth Circuit, vice Deanell Reece Tacha, retired.",Latest Action: 05/05/2014 - Confirmed by the Senate by Yea-Nay Vote. 90 - 3. Record Vote Number: 130. (All Actions)
Michelle T. Friedland,PN1182,113th Congress (2013-2014),"Michelle T. Friedland, of California, to be United States Circuit Judge for the Ninth Circuit, vice Raymond C. Fisher, retired.",Latest Action: 04/28/2014 - Confirmed by the Senate by Yea-Nay Vote. 51 - 40. Record Vote Number: 108. (All Actions)
Carolyn B. McHugh,PN1181,113th Congress (2013-2014),"Carolyn B. McHugh, of Utah, to be United States Circuit Judge for the Tenth Circuit, vice Michael R. Murphy, retired.",Latest Action: 03/12/2014 - Confirmed by the Senate by Yea-Nay Vote. 98 - 0. Record Vote Number: 67. (All Actions)
Jill A. Pryor,PN1180,113th Congress (2013-2014),"Jill A. Pryor, of Georgia, to be United States Circuit Judge for the Eleventh Circuit, vice Stanley F. Birch, Jr., retired.",Latest Action: 09/08/2014 - Confirmed by the Senate by Yea-Nay Vote. 97 - 0. Record Vote Number: 257. (All Actions)
Robert Leon Wilkins,PN529,113th Congress (2013-2014),"Robert Leon Wilkins, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit, vice David Bryan Sentelle, retired.",Latest Action: 01/13/2014 - Confirmed by the Senate by Yea-Nay Vote. 55 - 43. Record Vote Number: 7. (All Actions)
Cornelia T. L. Pillard,PN528,113th Congress (2013-2014),"Cornelia T. L. Pillard, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit, vice Douglas H. Ginsburg, retired.",Latest Action: 12/12/2013 - Confirmed by the Senate by Yea-Nay Vote. 51 - 44. Record Vote Number: 256. (All Actions)
Patricia Ann Millett,PN527,113th Congress (2013-2014),"Patricia Ann Millett, of Virginia, to be United States Circuit Judge for the District of Columbia Circuit, vice John G. Roberts, Jr., elevated.",Latest Action: 12/10/2013 - Confirmed by the Senate by Yea-Nay Vote. 56 - 38. Record Vote Number: 247. (All Actions)
Todd M. Hughes,PN134,113th Congress (2013-2014),"Todd M. Hughes, of the District of Columbia, to be United States Circuit Judge for the Federal Circuit, vice William C. Bryson, retired.",Latest Action: 09/24/2013 - Confirmed by the Senate by Yea-Nay Vote. 98 - 0. Record Vote Number: 204. (All Actions)
